#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:40:56.302
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.01856287,R h00000000
0.01856288,R h00000000
0.01856289,R h00000000
0.0185629,R h00000000
0.01856291,R h00000000
0.01856292,R h00000000
0.01856293,R h00000000
0.01856294,R h00000000
0.01856295,R h00000000
0.01856296,R h00000000
0.01856297,R h00000000
0.01856298,R h00000000
0.01856299,R h00000000
0.018563,R h00000000
0.01856301,R h00000000
0.01856302,R h00000000
0.01856303,R h00000000
0.01856304,R h00000000
0.01856305,R h00000000
0.01856306,R h00000000
0.01856307,R h00000000
0.01856308,R h00000000
0.01856309,R h00000000
0.0185631,R h00000000
0.01856311,R h00000000
0.01856312,R h00000000
0.01856313,R h00000000
0.01856314,R h00000000
0.01856315,R h00000000
0.01856316,R h00000000
0.01856317,R h00000000
0.01856318,R h00000000
0.01856319,R h00000000
0.0185632,R h00000000
0.01856321,R h00000000
0.01856322,R h00000000
0.01856323,R h00000000
0.01856324,R h00000000
0.01856325,R h00000000
0.01856326,R h00000000
0.01856327,R h00000000
0.01856328,R h00000000
0.01856329,R h00000000
0.0185633,R h00000000
0.01856331,R h00000000
0.01856332,R h00000000
0.01856333,R h00000000
0.01856334,R h00000000
0.01856335,R h00000000
0.01856336,R h00000000
0.01856337,R h00000000
0.01856338,R h00000000
0.01856339,R h00000000
0.0185634,R h00000000
0.01856341,R h00000000
0.01856342,R h00000000
0.01856343,R h00000000
0.01856344,R h00000000
0.01856345,R h00000000
0.01856346,R h00000000
0.01856347,R h00000000
0.01856348,R h00000000
0.01856349,R h00000000
0.0185635,R h00000000
0.01856351,R h00000000
0.01856352,R h00000000
0.01856353,R h00000000
0.01856354,R h00000000
0.01856355,R h00000000
0.01856356,R h00000000
0.01856357,R h00000000
0.01856358,R h00000000
0.01856359,R h00000000
0.0185636,R h00000000
0.01856361,R h00000000
0.01856362,R h00000000
0.01856363,R h00000000
0.01856364,R h00000000
0.01856365,R h00000000
0.01856366,R h00000000
0.01856367,R h00000000
0.01856368,R h00000000
0.01856369,R h00000000
0.0185637,R h00000000
0.01856371,R h00000000
